,tipo,categoria,pais_origem,pais_destino,ano,kg,valor
386,Vinhos de mesa,,Brasil,Palau,2011,,
387,Vinhos de mesa,,Brasil,Panamá,2011,,
388,Vinhos de mesa,,Brasil,Paraguai,2011,240168.0,276281.0
389,Vinhos de mesa,,Brasil,Peru,2011,,
390,Vinhos de mesa,,Brasil,Pitcairn,2011,,
391,Vinhos de mesa,,Brasil,Polônia,2011,11732.0,50684.0
392,Vinhos de mesa,,Brasil,Porto Rico,2011,,
393,Vinhos de mesa,,Brasil,Portugal,2011,95.0,1031.0
394,Vinhos de mesa,,Brasil,Quênia,2011,,
395,Vinhos de mesa,,Brasil,Reino Unido,2011,122629.0,285642.0
396,Vinhos de mesa,,Brasil,República Dominicana,2011,,
397,Vinhos de mesa,,Brasil,Rússia,2011,,
398,Vinhos de mesa,,Brasil,São Cristóvão e Névis,2011,,
399,Vinhos de mesa,,Brasil,São Tomé e Príncipe,2011,,
400,Vinhos de mesa,,Brasil,São Vicente e Granadinas,2011,,
401,Vinhos de mesa,,Brasil,Senegal,2011,,
402,Vinhos de mesa,,Brasil,Serra Leoa,2011,,
403,Vinhos de mesa,,Brasil,Sérvia,2011,,
404,Vinhos de mesa,,Brasil,Singapura,2011,,
405,Vinhos de mesa,,Brasil,Suazilândia,2011,,
406,Vinhos de mesa,,Brasil,Suécia,2011,1641.0,14476.0
407,Vinhos de mesa,,Brasil,Suíça,2011,,
408,Vinhos de mesa,,Brasil,Suriname,2011,3774.0,3735.0
409,Vinhos de mesa,,Brasil,Tailândia,2011,,
410,Vinhos de mesa,,Brasil,Taiwan (Formosa),2011,4500.0,10600.0
411,Vinhos de mesa,,Brasil,Tanzânia,2011,,
412,Vinhos de mesa,,Brasil,"Tcheca, República",2011,6846.0,37271.0
413,Vinhos de mesa,,Brasil,Togo,2011,,
414,Vinhos de mesa,,Brasil,Toquelau,2011,,
415,Vinhos de mesa,,Brasil,Trinidade Tobago,2011,,
416,Vinhos de mesa,,Brasil,Tunísia,2011,,
417,Vinhos de mesa,,Brasil,Turquia,2011,,
418,Vinhos de mesa,,Brasil,Tuvalu,2011,,
419,Vinhos de mesa,,Brasil,Uruguai,2011,1238.0,4404.0
420,Vinhos de mesa,,Brasil,Vanuatu,2011,,
421,Vinhos de mesa,,Brasil,Venezuela,2011,,
422,Vinhos de mesa,,Brasil,Vietnã,2011,,
423,Vinhos de mesa,,Brasil,Afeganistão,2012,,
424,Vinhos de mesa,,Brasil,África do Sul,2012,,
425,Vinhos de mesa,,Brasil,"Alemanha, República Democrática",2012,8189.0,56342.0
426,Vinhos de mesa,,Brasil,Angola,2012,2833.0,8861.0
427,Vinhos de mesa,,Brasil,Anguilla,2012,,
428,Vinhos de mesa,,Brasil,Antígua e Barbuda,2012,,
429,Vinhos de mesa,,Brasil,Antilhas Holandesas,2012,9247.0,14081.0
430,Vinhos de mesa,,Brasil,Arábia Saudita,2012,,
431,Vinhos de mesa,,Brasil,Argélia,2012,,
432,Vinhos de mesa,,Brasil,Argentina,2012,,
433,Vinhos de mesa,,Brasil,Aruba,2012,,
434,Vinhos de mesa,,Brasil,Austrália,2012,9345.0,56045.0
435,Vinhos de mesa,,Brasil,Áustria,2012,,
436,Vinhos de mesa,,Brasil,Bahamas,2012,1374.0,12087.0
437,Vinhos de mesa,,Brasil,Bangladesh,2012,,
438,Vinhos de mesa,,Brasil,Barbados,2012,,
